Reflector-quality analysis (default)
============================================================

Per-model verdict counts (task ⇒ verdict):

  model                  imp  flat reg  incpl
  deepseekv31            2    1    1    0
  gemini25pro            0    0    2    2
  gemma4                 0    4    0    0
  gpt-oss-20b            2    1    0    1
  gpt5                   1    3    0    0
  haiku45                2    2    0    0
  mimo-v2-pro            1    3    0    0
  minimax-m27            1    3    0    0
  opus                   1    3    0    0
  qwen3-235b             2    2    0    0
  qwen36-plus            1    2    1    0
  sonnet                 0    3    1    0

Per-task detail:

  model                  task n=1..3 iters   Δiter%  Δtok%  verdict
  deepseekv31            T1   20/5/5          +75.0   +80.4  improved
  deepseekv31            T2   20/4/20          +0.0    -6.1  flat
  deepseekv31            T3   5/5/4           +20.0   +19.1  improved
  deepseekv31            T4   4/20/20        -400.0  -865.5  regressed
  gemini25pro            T1   5/20/20        -300.0  -581.4  regressed
  gemini25pro            T2   4/0/20         -400.0  -675.6  incomplete
  gemini25pro            T3   8/20/20        -150.0  -373.6  regressed
  gemini25pro            T4   20/20/0        +100.0  +100.0  incomplete
  gemma4                 T1   5/5/5            +0.0    -5.8  flat
  gemma4                 T2   6/6/6            +0.0   -10.3  flat
  gemma4                 T3   7/8/8           -14.3   -18.8  flat
  gemma4                 T4   4/4/4            +0.0    +2.0  flat
  gpt-oss-20b            T1   5/7/0          +100.0  +100.0  incomplete
  gpt-oss-20b            T2   6/4/4           +33.3   +37.6  improved
  gpt-oss-20b            T3   3/3/3            +0.0    +0.0  flat
  gpt-oss-20b            T4   5/4/4           +20.0   +21.8  improved
  gpt5                   T1   5/4/4           +20.0   +24.7  improved
  gpt5                   T2   4/4/4            +0.0   -13.5  flat
  gpt5                   T3   3/3/3            +0.0    -3.5  flat
  gpt5                   T4   4/4/4            +0.0    -7.8  flat
  haiku45                T1   5/4/4           +20.0   +22.3  improved
  haiku45                T2   3/3/3            +0.0    -2.5  flat
  haiku45                T3   4/4/3           +25.0   +27.7  improved
  haiku45                T4   4/4/4            +0.0    +4.3  flat
  mimo-v2-pro            T1   6/4/4           +33.3   +38.8  improved
  mimo-v2-pro            T2   4/4/4            +0.0    -4.7  flat
  mimo-v2-pro            T3   3/4/3            +0.0    -4.2  flat
  mimo-v2-pro            T4   4/4/4            +0.0    -1.8  flat
  minimax-m27            T1   5/4/4           +20.0   +18.4  improved
  minimax-m27            T2   4/4/4            +0.0    -6.7  flat
  minimax-m27            T3   4/4/4            +0.0    -2.9  flat
  minimax-m27            T4   4/5/4            +0.0    +2.9  flat
  opus                   T1   4/4/4            +0.0    -2.1  improved
  opus                   T2   4/4/4            +0.0    -5.1  flat
  opus                   T3   3/3/3            +0.0    -1.3  flat
  opus                   T4   4/4/4            +0.0    -5.8  flat
  qwen3-235b             T1   5/4/4           +20.0   +16.1  improved
  qwen3-235b             T2   4/4/4            +0.0    -7.0  flat
  qwen3-235b             T3   4/4/4            +0.0    -6.8  flat
  qwen3-235b             T4   4/4/3           +25.0   +25.7  improved
  qwen36-plus            T1   5/4/4           +20.0   +19.2  improved
  qwen36-plus            T2   3/3/4           -33.3   -37.9  regressed
  qwen36-plus            T3   3/3/3            +0.0    +0.1  flat
  qwen36-plus            T4   3/3/3            +0.0    -1.8  flat
  sonnet                 T1   4/4/4            +0.0    +0.6  flat
  sonnet                 T2   3/3/3            +0.0    -2.9  flat
  sonnet                 T3   3/3/3            +0.0    -4.9  flat
  sonnet                 T4   3/3/4           -33.3   -36.1  regressed
