group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
T1,reflect,10,1.0000,1.1000,2.10,1855.8,1637.1,218.7,0.001058,0.010576,12212.50,5130.00,38777.00,38777.00,151.96,0,0,0
T1,task,10,1.0000,1.0000,4.10,4368.9,4152.8,216.1,0.002033,0.020327,15583.50,11137.00,44357.00,44357.00,280.35,0,0,0
T2,reflect,10,1.0000,1.7000,2.10,1786.1,1599.7,186.4,0.001093,0.010927,13544.60,6264.00,60001.00,60001.00,131.87,0,0,0
T2,task,10,1.0000,1.0000,4.00,3418.2,3257.7,160.5,0.001662,0.016615,10697.20,4593.00,35088.00,35088.00,319.54,0,0,0
T3,reflect,10,1.0000,2.0000,3.00,2720.9,2405.0,315.9,0.001244,0.012436,23788.10,24333.00,59060.00,59060.00,114.38,0,0,0
T3,task,10,1.0000,1.0000,5.00,4988.4,4732.8,255.6,0.002409,0.024086,12989.10,5754.00,35603.00,35603.00,384.05,0,0,0
T4,reflect,10,1.0000,1.9000,2.90,2558.8,2317.0,241.8,0.000919,0.009188,24278.60,24177.00,43108.00,43108.00,105.39,0,0,0
T4,task,10,1.0000,1.0000,4.10,4266.6,4107.8,158.8,0.001356,0.013562,17263.40,22597.00,27058.00,27058.00,247.15,0,0,0
T5,reflect,10,1.0000,3.6000,3.20,3670.8,3432.8,238.0,0.001671,0.016707,34881.00,36084.00,60002.00,60002.00,105.24,0,0,0
T5,task,10,1.0000,1.0000,7.30,11849.9,11464.0,385.9,0.005487,0.054866,26979.50,29936.00,64794.00,64794.00,439.22,0,0,0
