group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
T1,reflect,10,0.6000,0.8000,1.40,2151.3,899.9,1251.4,0.016402,0.164017,31507.70,30108.00,60001.00,60001.00,68.28,0,0,0
T1,task,10,0.7000,0.7000,4.20,5817.2,3134.8,2682.4,0.030743,0.307425,59524.90,55649.00,111682.00,111682.00,97.73,0,0,0
T2,reflect,10,0.9000,1.2000,1.70,2396.7,1019.6,1377.1,0.018773,0.187733,30745.20,27855.00,60000.00,60000.00,77.95,0,0,0
T2,task,10,1.0000,1.0000,4.00,3044.2,2462.2,582.0,0.008898,0.088978,17214.50,17720.00,20817.00,20817.00,176.84,0,0,0
T3,reflect,10,1.0000,1.0000,2.00,2149.1,1194.4,954.7,0.011040,0.110400,16090.70,14449.00,27253.00,27253.00,133.56,0,0,0
T3,task,10,1.0000,1.0000,3.00,2451.7,1991.6,460.1,0.007090,0.070905,10404.20,10000.00,15713.00,15713.00,235.65,0,0,0
T4,reflect,10,0.8000,1.2000,2.20,2931.2,1391.0,1540.2,0.017141,0.171408,23193.00,22816.00,35767.00,35767.00,126.38,0,0,0
T4,task,10,1.0000,1.0000,4.00,3763.0,3104.5,658.5,0.010466,0.104656,16667.30,15915.00,23628.00,23628.00,225.77,0,0,0
T5,reflect,10,0.9000,0.9000,1.90,2859.0,1338.9,1520.1,0.016875,0.168746,27466.10,30378.00,54102.00,54102.00,104.09,0,0,0
T5,task,10,1.0000,1.0000,4.40,5842.3,4756.8,1085.5,0.014382,0.143818,24640.70,19544.00,83499.00,83499.00,237.10,0,0,0
