group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
T1,reflect,10,0.8000,1.2000,1.80,2735.5,2340.4,395.1,0.004316,0.043159,5104.40,5695.00,6303.00,6303.00,535.91,0,0,0
T1,task,10,1.0000,1.0000,4.10,7292.6,6877.2,415.4,0.008954,0.089542,7525.20,7583.00,9803.00,9803.00,969.09,0,0,0
T2,reflect,10,1.0000,1.0000,2.00,2853.0,2491.9,361.1,0.004297,0.042974,5063.20,5183.00,5984.00,5984.00,563.48,0,0,0
T2,task,10,1.0000,1.0000,3.00,4562.8,4313.8,249.0,0.005559,0.055588,4778.40,4660.00,5889.00,5889.00,954.88,0,0,0
T3,reflect,10,1.0000,1.0000,2.00,2837.3,2491.2,346.1,0.004222,0.042217,5036.10,5226.00,6502.00,6502.00,563.39,0,0,0
T3,task,10,1.0000,1.0000,3.30,5400.4,5025.1,375.3,0.006902,0.069016,6225.70,6191.00,7959.00,7959.00,867.44,0,0,0
T4,reflect,10,0.9000,1.0000,1.90,2849.6,2440.4,409.2,0.004486,0.044864,5611.50,5946.00,6986.00,6986.00,507.81,0,0,0
T4,task,10,1.0000,1.0000,4.00,6744.4,6505.9,238.5,0.007698,0.076984,5532.20,5539.00,6437.00,6437.00,1219.12,0,0,0
T5,reflect,10,1.0000,1.8000,2.00,3911.8,3291.0,620.8,0.006395,0.063950,7345.40,7411.00,9930.00,9930.00,532.55,0,0,0
T5,task,10,1.0000,1.0000,6.30,15361.6,14507.2,854.4,0.018779,0.187792,12873.50,12884.00,16826.00,16826.00,1193.27,0,0,0
