group,kind,n,pass_rate,mean_score,mean_iters,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_cost_usd,total_cost_usd,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,tokens_per_sec,cedar_denied,executor_refused,violations_prevented
T1,reflect,10,0.9000,0.9000,1.90,1973.0,1461.1,511.9,0.000880,0.008804,15336.90,12887.00,29102.00,29102.00,128.64,0,0,0
T1,task,10,1.0000,1.0000,4.20,4968.5,4659.2,309.3,0.000838,0.008382,12070.50,12024.00,19578.00,19578.00,411.62,0,0,0
T2,reflect,10,1.0000,1.0000,2.00,1950.9,1487.5,463.4,0.000835,0.008347,19029.60,18553.00,39752.00,39752.00,102.52,0,0,0
T2,task,10,1.0000,1.0000,3.20,3117.0,2887.6,229.4,0.000602,0.006018,9830.50,9492.00,19919.00,19919.00,317.07,0,0,0
T3,reflect,10,1.0000,1.4000,2.40,2596.0,1879.1,716.9,0.001212,0.012119,21394.10,23471.00,40594.00,40594.00,121.34,0,0,0
T3,task,10,1.0000,1.0000,3.00,3392.1,3053.2,338.9,0.000761,0.007611,13630.40,13749.00,25376.00,25376.00,248.86,0,0,0
T4,reflect,10,1.0000,1.0000,2.00,2005.8,1528.8,477.0,0.000904,0.009043,14775.40,14058.00,26115.00,26115.00,135.75,0,0,0
T4,task,10,1.0000,1.0000,4.00,4536.1,4275.2,260.9,0.000783,0.007830,10080.60,10304.00,13590.00,13590.00,449.98,0,0,0
T5,reflect,10,1.0000,1.0000,2.00,2405.3,1813.6,591.7,0.001049,0.010491,19482.50,18885.00,40176.00,40176.00,123.46,0,0,0
T5,task,10,1.0000,1.0000,5.00,8775.2,7965.6,809.6,0.001933,0.019329,23145.50,21809.00,46020.00,46020.00,379.13,0,0,0
